YEARS,OFFGUIDE,SENTTCAP,LOSS1,NEWEDUC
4,17,13,NA,1
7,21,40,NA,6
6,25,15,NA,3
5,10,235,NA,3
2,13,21,NA,1
3,13,37,NA,3
7,10,6,NA,5
2,13,13,NA,1
4,10,0.03,NA,1
6,17,24,NA,1
3,16,18.49,42951,6
5,17,0.33,NA,1
7,10,188,NA,5
4,10,12.03,NA,5
2,16,NA,9999999997,3
4,22,300,NA,3
2,13,46,NA,1
3,17,3.91,NA,1
2,13,37,NA,3
3,16,NA,8500,3
4,10,27,NA,1
6,13,24,NA,5
5,17,3.38,NA,1
2,17,9,NA,1
4,17,4.83,NA,1
4,17,3,NA,1
7,10,135,NA,1
2,10,144,NA,3
5,17,18,NA,1
4,17,18,NA,1
6,4,84,NA,3
5,27,120,NA,5
3,13,48,NA,3
4,17,3.65,NA,1
6,17,2.99,NA,1
7,26,151,1145,3
2,17,3.84,NA,1
3,21,NA,NA,6
1,17,5.45,NA,1
4,16,NA,23172,3
5,13,77,NA,3
6,17,6,NA,1
7,17,13,NA,1
2,13,37,NA,1
6,10,94,NA,1
5,10,132,NA,3
6,17,24,NA,3
5,17,6,NA,1
6,10,230,NA,5
3,10,140,NA,5
4,17,10,NA,1
7,13,NA,NA,1
6,17,2.92,NA,1
3,17,5.88,NA,1
5,17,12.03,NA,1
3,10,46,NA,1
4,16,NA,960,3
5,16,NA,960,5
4,10,60,NA,1
6,13,36,NA,3
6,17,7.65,NA,1
3,10,60,NA,1
3,1,210,NA,3
2,30,NA,NA,NA
4,17,21,NA,NA
4,13,80,NA,1
3,13,37,NA,1
6,10,12.03,NA,5
3,13,70,NA,1
7,10,70,NA,1
5,17,NA,NA,3
3,17,12.03,NA,1
5,13,84,NA,5
3,10,135,NA,5
2,10,15,NA,1
6,17,3.69,NA,1
5,10,34,NA,1
4,10,24,NA,1
6,30,NA,NA,6
4,17,48,NA,6
6,27,240,NA,5
2,10,30,NA,1
3,17,15,NA,5
7,17,7,NA,1
3,13,51,NA,1
7,17,3.49,NA,1
5,17,21,NA,1
6,17,0.3,NA,6
6,17,12.03,NA,1
5,13,78,NA,5
6,17,0.03,NA,NA
2,17,3.92,NA,1
6,26,51,NA,5
3,10,211,NA,1
6,7,180,NA,6
3,10,60,NA,3
3,17,6.41,NA,1
6,16,0.03,9999999997,3
2,17,NA,NA,3
4,10,32,NA,1
5,17,15,NA,1
7,10,42,451328,6
6,17,0.03,NA,NA
2,17,13.03,NA,1
6,13,264,NA,3
3,13,57,NA,3
2,16,NA,NA,NA
5,10,84,NA,5
3,26,60,47,NA
4,10,36,NA,1
6,17,18,NA,1
6,10,240,NA,3
6,27,24,NA,1
7,17,18,NA,3
6,4,24.54,NA,3
5,17,6,NA,1
6,13,33,NA,3
2,17,0.03,NA,NA
4,17,2.62,NA,1
6,17,30,NA,1
2,16,NA,NA,NA
6,17,4.59,NA,1
6,17,12.03,NA,1
6,17,6,NA,3
4,10,130,NA,1
6,13,168,NA,1
2,17,12.03,NA,1
5,10,96,NA,3
7,10,54,NA,1
5,13,102,NA,5
6,16,1.28,9999999997,6
2,17,37,NA,3
5,10,140,NA,3
6,27,360,NA,1
4,7,48,NA,3
3,13,0.03,NA,3
6,17,8,NA,1
5,10,96,NA,3
3,17,8,NA,3
6,10,NA,NA,1
4,10,100,NA,3
6,10,60,NA,1
7,10,121,NA,3
4,22,77.72,NA,1
1,4,NA,NA,1
1,10,108,NA,1
5,17,15,NA,1
6,21,24.49,20737,1
2,17,30,NA,1
1,17,NA,NA,1
5,16,18,200000,6
6,17,2.85,NA,1
3,10,30,NA,1
6,10,46,NA,1
2,13,39,NA,3
3,10,6.64,NA,6
6,16,12.03,2766218,3
7,16,6,8347,5
3,16,NA,9999999997,5
6,19,60,NA,5
4,17,6,NA,1
4,7,120,0,3
1,10,10.62,NA,1
7,7,144,NA,6
7,10,12.03,NA,1
4,10,72,NA,3
6,17,24,NA,3
3,16,12.03,44187,3
4,16,NA,9999999997,3
4,10,70,NA,1
7,29,15,381418,5
5,10,135,NA,1
3,13,207,NA,5
1,17,8,NA,3
6,17,10,NA,1
6,12,0.03,1563800,1
6,10,135,NA,1
6,10,70,NA,3
7,17,3.35,NA,1
6,10,100,NA,1
4,16,240,21500000,5
4,10,10,NA,1
7,13,16,NA,3
6,13,120,NA,3
6,17,3.98,NA,1
2,17,4.53,NA,1
6,17,51,NA,1
4,10,21,NA,3
3,17,46,NA,1
5,10,85,NA,5
6,10,30,NA,1
6,17,4.96,NA,1
7,10,72,NA,3
5,10,0.03,NA,1
4,16,24,NA,5
6,17,2.17,NA,1
6,10,262,NA,3
6,4,51,NA,3
6,17,1.91,NA,NA
3,17,1.81,NA,1
7,17,3.42,NA,1
3,16,21,34890,3
2,10,26,NA,1
4,10,120,NA,5
6,10,45,NA,1
6,27,420,NA,1
6,13,12.03,NA,1
4,10,25,NA,5
6,10,100,NA,1
6,13,21,NA,3
5,16,65,339768,5
5,10,77,NA,3
6,17,14,NA,1
6,21,24,NA,3
2,10,78,NA,3
7,16,37,358855,6
5,13,63,NA,1
6,3,60,9999999997,5
4,10,120,NA,5
4,10,12.03,NA,1
5,13,24,25750,3
4,10,0.13,NA,3
2,13,12.03,NA,3
6,3,8,NA,3
6,10,12,NA,5
3,10,60,NA,3
7,16,NA,366501,6
6,16,24.03,29000,3
3,10,180,NA,1
3,17,10,NA,1
7,10,90,NA,5
5,10,60,NA,6
6,17,6,NA,1
2,17,0.33,NA,3
5,13,79,NA,3
6,17,10,NA,1
2,16,NA,8000,5
6,22,264,NA,3
6,17,40,NA,1
5,16,NA,313700,6
3,10,24,NA,1
6,17,5.26,NA,1
3,13,20,NA,1
4,26,174,9999999997,1
3,17,16,NA,1
7,17,9,NA,NA
3,17,18,NA,3
7,17,33,NA,5
4,10,110,NA,5
1,10,24,NA,5
7,13,72,NA,3
3,17,36.76,NA,3
2,16,8,28000,3
2,10,0.03,NA,3
7,13,12.03,NA,5
5,17,12.03,NA,1
3,13,77,NA,1
6,13,46,NA,1
3,22,235,NA,1
4,27,420,NA,1
3,4,NA,NA,3
5,17,2.96,NA,NA
6,13,72,NA,5
3,17,8,NA,1
6,13,21,NA,1
5,17,6.83,NA,1
6,13,70,NA,5
5,16,NA,313700,6
2,10,12.03,NA,1
5,21,96,NA,1
7,16,0.03,253200,1
4,13,9.39,NA,5
5,17,18,NA,1
3,17,22,NA,1
4,1,6,NA,3
5,10,120,NA,5
4,10,0.1,NA,3
7,7,72,NA,5
6,10,70,NA,3
6,16,15,22810,5
4,10,98,NA,3
5,29,12.03,22298,5
5,17,2.62,NA,1
6,16,0.03,164000,1
7,21,0.03,NA,1
7,27,121,NA,3
2,10,121,NA,5
7,26,NA,0,3
6,17,5,NA,1
6,7,70,NA,5
6,17,24,NA,3
4,13,57,NA,5
4,10,120,NA,1
6,17,21,NA,3
1,10,14,NA,1
5,10,45,NA,3
4,7,120,NA,3
5,10,80,NA,3
7,10,120,NA,3
5,16,30,9999999997,6
5,17,15,NA,1
5,10,96,NA,1
1,17,12.03,NA,3
4,10,108,NA,6
6,10,200,NA,5
6,16,0.03,9999999997,5
1,26,132,300,1
3,4,60,NA,3
6,27,240,NA,5
3,22,314.26,NA,3
4,10,120,NA,1
6,17,10,NA,1
7,17,0.03,NA,NA
3,17,15,NA,1
6,13,120,NA,3
4,21,NA,9999999997,3
5,17,12.03,NA,1
2,26,27,9999999997,5
7,16,132,244031132,3
4,13,63,NA,3
1,17,15,NA,1
7,1,NA,NA,6
4,17,4.72,NA,1
6,16,NA,157302,5
6,17,10,NA,5
5,17,8,NA,1
4,10,46,NA,5
1,17,5.3,NA,1
7,16,NA,31876,3
6,16,18,99181,6
7,17,40,NA,1
4,17,12.03,NA,3
3,27,72,NA,1
3,10,57,NA,3
3,10,12.03,NA,5
4,17,5.16,NA,1
3,17,30,NA,3
5,17,2.69,NA,1
5,17,6,NA,5
5,10,240,NA,3
4,17,15,NA,1
3,13,13.26,NA,1
4,17,8,NA,1
4,10,84,NA,1
2,30,0.49,NA,NA
5,10,46,NA,1
4,17,15,NA,1
4,17,12.03,NA,3
3,30,NA,NA,NA
7,5,0.03,9999999997,3
7,21,29,500000,1
3,30,NA,NA,NA
7,29,18,9999999997,6
3,13,46,NA,3
6,10,96,NA,5
7,10,92,NA,3
1,30,NA,NA,NA
4,21,47,500000,1
6,10,120,NA,3
4,10,180,NA,3
2,17,4.76,NA,1
2,30,2.96,NA,NA
3,17,6,NA,1
5,10,71,NA,3
6,17,5.16,NA,1
4,10,120,NA,1
6,21,21,500000,1
6,10,0.03,NA,6
2,17,6.18,NA,1
6,10,200,NA,1
5,17,0.03,NA,NA
6,17,21,NA,1
4,1,14,NA,3
6,23,30,NA,5
3,23,30,NA,1
2,10,12.89,NA,3
4,10,144,NA,3
3,13,18,NA,3
7,17,12.03,NA,1
7,7,240,NA,5
4,27,240,NA,5
4,10,132,NA,1
7,10,262,NA,3
3,13,27,NA,1
6,10,10.36,NA,1
2,13,72,NA,3
6,17,8,NA,1
5,16,4.93,0,1
6,10,80,NA,5
4,17,18,NA,1
6,7,108,NA,6
6,17,13.03,NA,1
7,10,90,NA,1
4,10,87,NA,1
4,17,18,NA,1
3,17,10,NA,1
2,13,6.03,NA,1
6,10,0.03,NA,1
5,17,3.23,NA,NA
6,21,100,NA,1
3,16,24,1037917,5
5,28,120,NA,3
2,4,96,NA,3
2,13,48,NA,1
5,30,NA,NA,NA
2,13,14.3,NA,1
7,10,78,NA,3
4,13,57,NA,3
5,17,0.03,NA,NA
2,10,NA,NA,3
3,13,60,NA,1
4,27,13,NA,3
6,10,77,NA,3
4,25,30,NA,3
5,27,140,NA,1
3,13,40,NA,1
4,13,46,NA,5
5,10,92,NA,3
6,17,9.85,NA,1
3,10,0.23,NA,5
3,17,NA,NA,5
6,4,200,NA,3
6,17,4.85,NA,1
2,27,156,NA,5
5,17,6,NA,1
6,17,24,NA,1
3,10,87,NA,3
6,13,48,NA,3
4,26,10,230,3
6,10,126,NA,5
7,13,24,NA,5
6,16,48,745000,5
6,13,77,NA,1
6,16,24,NA,3
2,10,0.23,NA,1
4,3,60,NA,3
4,17,10,NA,3
4,10,46,NA,1
3,4,24,NA,3
2,26,84,9999999997,3
4,17,NA,NA,1
5,21,102,NA,3
7,13,20,NA,1
5,10,24,NA,1
4,10,0.03,NA,1
6,20,70,NA,1
4,10,51,NA,3
6,10,100,NA,1
1,10,72,NA,3
5,13,70,NA,3
3,16,4,0,1
6,10,210,NA,1
4,10,168,NA,3
6,17,8,NA,1
6,17,12.03,NA,1
3,26,168,6215,1
5,10,12.03,NA,5
7,16,42,4200585,1
6,10,30,NA,5
4,13,60,NA,3
6,13,36,NA,3
3,13,96,NA,1
3,13,63,NA,3
3,17,8,NA,1
5,10,65,NA,1
6,17,2.59,NA,1
2,30,NA,NA,NA
7,10,72,NA,1
5,17,4.95,NA,1
2,13,27,NA,1
1,30,NA,NA,NA
6,13,15,NA,3
1,10,36,NA,3
5,10,120,NA,5
2,10,72,NA,1
5,13,63,NA,3
2,17,9.33,NA,3
5,17,15,NA,1
4,17,NA,NA,1
3,17,0.03,NA,NA
3,7,20,NA,5
2,17,7.46,NA,1
4,10,228,NA,1
6,17,16,NA,1
5,17,2.92,NA,5
3,9,NA,NA,NA
6,29,12.03,183303,5
5,13,60,NA,3
5,16,NA,94475,6
4,15,5.33,9999999997,5
4,10,60,NA,1
4,1,27,NA,3
3,10,23,NA,3
6,9,NA,NA,NA
5,13,78,NA,5
5,10,120,NA,1
5,10,76,NA,3
4,10,18,NA,1
3,10,43,NA,1
5,10,86,NA,6
6,10,7.49,NA,5
5,10,36,NA,3
2,13,25,NA,3
3,17,22,NA,3
3,4,41,NA,1
3,17,0.03,NA,NA
4,10,158,NA,3
6,10,60,NA,1
7,17,24,NA,3
6,10,84,NA,3
7,17,2.92,NA,1
3,17,12.03,NA,1
6,10,360,NA,3
4,13,72,NA,3
6,10,195,NA,5
5,13,51,NA,5
6,10,10.38,NA,5
4,16,9,583887,1
3,17,30,NA,1
6,17,32,NA,6
7,10,210,NA,1
4,10,64,NA,3
3,10,172,NA,3
5,17,15,NA,3
7,13,24,NA,1
7,10,72,NA,3
6,10,60,NA,6
4,13,180,NA,3
4,17,4,NA,5
3,10,41,NA,1
4,17,NA,NA,3
3,10,84,NA,3
4,10,52,NA,3
4,17,10,NA,1
3,13,NA,NA,3
7,17,5,NA,NA
5,13,105,NA,3
5,16,37,22516,3
7,30,NA,NA,NA
7,30,NA,NA,5
6,7,96,NA,3
4,10,87,NA,1
5,13,92,NA,1
7,17,25,NA,NA
3,13,41,NA,3
7,17,12.03,NA,3
6,10,51,NA,3
3,27,60,NA,3
6,17,41,NA,3
2,13,42,NA,3
4,10,136,NA,3
3,13,78,NA,1
5,17,0.03,NA,NA
7,26,194,200,5
2,17,13.03,NA,3
2,13,40,NA,1
1,17,16,NA,1
3,13,60,NA,1
5,10,151,NA,3
5,16,0.03,10903,5
5,13,60,NA,3
4,13,60,NA,1
5,24,18,NA,3
6,17,12,NA,5
2,13,0.1,NA,1
6,10,84,NA,3
4,17,27,NA,1
4,17,12.03,NA,1
6,17,24,NA,1
7,16,55,2239187,3
1,17,6,NA,5
2,10,21,NA,1
4,10,63,NA,1
4,17,16,NA,3
4,10,70,NA,1
2,10,53,NA,1
4,13,106,NA,1
4,10,0.03,NA,1
5,17,12.03,NA,1
3,10,90,NA,3
6,10,4,NA,1
2,10,96,NA,1
6,10,24,NA,3
7,10,120,NA,3
6,10,235,NA,3
3,1,7.85,NA,1
5,10,210,NA,5
5,16,18,1573265,5
5,17,2.14,NA,1
6,10,48,NA,5
5,16,24,NA,5
2,13,20,NA,1
6,10,60,NA,1
7,16,33,665600,3
7,17,3.22,NA,1
3,16,9.62,12506,3
7,17,NA,NA,3
7,16,14,284160,3
4,17,6,NA,1
6,13,114,NA,1
5,10,54,NA,6
6,13,27,NA,3
3,19,48,NA,5
4,22,168,NA,1
6,16,30,7520779,6
5,27,180,NA,6
5,13,57,NA,5
5,13,46,NA,5
5,17,12,NA,1
7,16,NA,75502,5
6,17,4.13,NA,1
4,17,3.91,NA,1
6,17,0.03,NA,NA
2,13,NA,NA,1
6,10,300,NA,5
2,27,60,NA,3
4,13,36,NA,3
5,10,84,NA,1
4,10,211,NA,3
3,4,37,NA,3
3,17,4.13,NA,1
3,17,6.23,NA,5
1,26,100,1965,1
6,7,132,NA,6
4,27,120,NA,5
6,18,18,NA,5
2,13,4.03,NA,3
5,5,9,1573265,5
3,17,8,NA,3
7,21,41,53290,3
7,10,96,NA,3
1,17,3.72,NA,1
3,13,46,NA,3
6,10,12.03,NA,3
4,13,0.03,NA,5
6,10,83,NA,3
5,10,120,NA,1
5,10,87,NA,1
3,10,NA,NA,1
4,7,NA,NA,6
4,13,24,NA,3
7,10,120,NA,3
7,10,40,NA,5
5,10,114,NA,5
6,10,21,NA,1
4,7,60,NA,5
5,27,120,NA,5
2,10,13.23,NA,3
5,10,24,NA,1
3,26,159,4900,1
5,10,78,NA,1
6,16,15,9999999997,3
3,13,37,NA,1
5,10,46,NA,3
4,13,22,NA,5
4,10,144,NA,3
6,28,18,NA,6
4,17,NA,NA,3
4,9,NA,NA,NA
5,10,60,NA,1
6,17,6,NA,1
6,17,24,NA,6
6,10,120,NA,1
5,10,120,NA,3
2,17,37,NA,1
6,10,36,NA,1
6,17,4,NA,3
2,17,3,NA,1
7,10,57,NA,1
2,17,0.03,NA,NA
5,17,24,NA,1
4,17,33,NA,1
2,17,28,NA,3
4,9,0.03,NA,5
5,10,75,NA,3
4,10,156,NA,3
4,10,92,NA,1
5,13,18,NA,5
7,10,60,NA,1
5,10,144,NA,1
6,10,120,NA,1
6,29,12.03,499958,3
6,10,82,NA,5
3,26,42,1000,5
5,10,60,NA,5
4,10,120,NA,1
4,17,18,NA,1
3,10,31,NA,5
6,17,4.59,NA,1
3,13,60,NA,3
5,13,100,NA,1
4,13,24,NA,3
3,13,48,NA,1
2,26,14,2000,3
5,10,156,NA,3
6,10,120,NA,3
4,10,23.3,NA,3
4,21,29.69,352830,1
6,16,30,403549,6
6,27,300,NA,5
7,10,46,NA,5
4,10,46,NA,5
7,21,NA,596000,5
6,10,180,NA,5
6,10,NA,NA,3
5,10,0.03,NA,1
2,26,60,1660,1
3,13,46,NA,3
4,17,24,NA,1
5,10,60,NA,3
3,13,37,NA,3
6,10,100,NA,5
6,10,62,NA,1
5,13,30,NA,3
2,10,57,NA,1
4,17,8,NA,1
2,22,168,NA,1
7,17,18,NA,3
6,10,0.03,NA,1
4,10,24,NA,5
3,10,180,NA,1
6,16,65,294421,5
3,26,72,0,1
6,17,6,NA,1
3,17,0.03,NA,1
6,17,4.83,NA,1
6,17,18,NA,1
6,16,0.03,9700,6
3,17,12.03,NA,1
6,17,15,NA,1
3,16,9,284000,3
4,17,8,NA,1
7,22,469.99,NA,3
6,17,18,NA,1
6,17,21,NA,3
2,13,66,NA,3
5,17,0.03,NA,NA
7,16,120,144931554,6
7,24,21,NA,3
4,17,12.03,NA,1
4,17,3.38,NA,1
5,17,18,NA,1
2,23,16,NA,3
3,17,2.53,NA,NA
4,13,32,NA,1
4,17,3.84,NA,1
5,10,264,NA,5
2,16,18,221621,3
5,10,18.82,NA,3
2,16,15,21500,5
7,10,108,NA,3
6,13,78,NA,3
4,7,108,NA,6
6,10,120,NA,5
1,30,0.03,NA,NA
1,17,0.03,NA,NA
6,11,NA,9999999997,3
3,10,144,NA,1
6,17,10,NA,1
5,13,37,NA,1
2,10,84,NA,3
7,16,30,2049809,3
6,17,3.32,NA,1
5,17,12.03,NA,1
6,17,24,NA,1
5,10,17,NA,1
3,30,0.03,NA,NA
4,10,46,NA,1
6,17,10,NA,1
4,10,75,NA,3
6,23,8.54,NA,6
6,17,10,NA,1
4,13,96,NA,1
6,13,30,NA,3
5,16,54,252486,5
2,13,103,NA,3
5,27,216,NA,1
6,10,120,NA,3
6,17,0.03,NA,1
2,10,42,NA,3
2,10,70,NA,3
6,13,57,NA,3
6,10,0.03,NA,5
3,17,6,NA,1
6,17,0.03,NA,1
1,17,4.07,NA,1
6,10,135,NA,1
3,17,0.36,NA,5
4,17,43,NA,1
3,10,24,NA,3
3,10,51,NA,3
4,16,80,6796006,3
7,10,NA,NA,6
3,26,12.03,9999999997,3
5,10,108,NA,3
6,17,0.03,NA,1
1,30,NA,NA,NA
6,10,62,NA,3
5,17,5.72,NA,1
4,10,60,NA,5
4,10,63,NA,1
3,10,48,NA,3
5,13,46,NA,3
2,22,240,NA,3
5,13,87,NA,3
2,13,37,NA,1
2,10,48,NA,5
7,7,72,NA,5
6,13,46,NA,1
3,21,0.03,9999999997,6
6,10,57,NA,1
4,17,3,NA,1
4,30,NA,NA,NA
7,16,2,9999999997,5
7,17,10,NA,1
4,10,151,NA,1
2,13,37,NA,5
4,10,264,NA,1
2,19,120,NA,3
1,10,18,NA,3
5,10,146,NA,3
6,21,188,9999999997,6
3,7,120,NA,3
3,10,120,NA,3
6,6,0.99,9999999997,6
5,10,41.23,NA,1
5,7,144,NA,6
2,16,1.28,0,1
6,13,45.59,NA,1
7,16,41,1712522,5
3,10,150,NA,1
2,10,16,NA,5
1,13,57,NA,1
6,13,18,NA,5
2,10,60,NA,1
1,10,72,NA,3
4,6,3.94,9999999997,5
6,16,NA,9999999997,6
2,13,24,NA,3
5,17,26,NA,3
4,17,2.23,NA,1
4,28,15,NA,1
4,10,NA,NA,3
2,26,110,400,1
3,10,100,NA,1
4,10,144,NA,1
2,10,87,NA,1
4,17,0.03,NA,NA
6,7,108,NA,1
5,21,120,NA,5
3,10,120,NA,3
4,13,46,NA,5
5,21,96,NA,1
5,10,121,NA,1
6,5,15,114747,6
7,11,NA,NA,NA
3,10,160,NA,1
6,24,30,NA,3
7,10,0.03,NA,1
6,10,180,NA,1
4,4,30,NA,3
7,10,84,NA,3
4,13,14,NA,1
4,17,6,NA,5
5,16,0.03,62482,5
5,27,180,NA,6
4,17,15,NA,1
4,10,135,NA,5
5,17,4.5,NA,1
6,19,204,NA,1
6,10,156,NA,5
5,17,12.03,NA,1
5,17,3.78,NA,1
6,13,33,NA,3
7,13,63,NA,5
3,10,72,NA,1
6,17,15,NA,1
6,10,66,NA,5
6,10,87,NA,5
6,9,34.16,NA,1
5,10,48,NA,3
3,10,228,NA,3
7,17,5.42,NA,1
4,17,12,NA,1
3,27,33,NA,5
1,10,24,NA,1
2,17,0.2,NA,3
5,13,20,NA,3
6,10,41,NA,1
