YEARS,OFFGUIDE,SENTTCAP,LOSS1,NEWEDUC
3,21,26,NA,6
6,16,NA,0,6
6,10,216,NA,1
3,10,120,NA,5
4,10,90,NA,1
6,17,6.92,NA,3
7,10,135,NA,5
4,13,NA,NA,1
6,7,60,NA,5
4,27,360,NA,3
2,16,3,NA,NA
4,26,120,5628,1
6,10,85,NA,3
4,17,21,NA,1
4,27,84,NA,3
1,10,100,NA,1
1,13,21,NA,3
7,17,2.79,NA,1
7,16,NA,449177,5
5,13,27,NA,3
3,10,50,NA,1
3,10,200,NA,1
5,17,8,NA,1
4,17,5.03,NA,1
2,10,60,NA,3
5,17,12.03,NA,1
4,10,300,NA,3
4,10,18,NA,5
4,16,41,51822,3
5,16,87,318727,1
4,10,27,NA,1
6,10,60,NA,3
7,8,60,NA,5
6,17,5.76,NA,NA
3,10,3.2,NA,3
6,10,68,NA,1
2,26,97,0,3
7,16,0.03,60286,5
6,13,46,NA,3
3,10,12.92,NA,1
3,17,1.89,NA,NA
4,10,240,NA,3
6,10,128,NA,5
3,13,72,NA,1
4,4,NA,NA,5
6,10,70,NA,5
1,13,9,NA,3
6,10,135,NA,3
5,17,6,NA,1
6,27,180,NA,6
5,17,0.03,NA,NA
6,13,15,NA,3
5,16,NA,5240311,5
6,10,132,NA,1
2,13,87,NA,1
6,17,4.99,NA,1
5,17,8,NA,1
2,13,18,NA,1
7,13,12.03,NA,1
3,7,168,NA,3
5,10,262,NA,5
7,10,8.95,NA,5
4,10,30,NA,NA
3,28,30,NA,6
5,10,18,NA,5
3,16,NA,38460,3
3,13,NA,NA,1
3,13,24,NA,1
4,13,120,NA,1
3,4,51.82,NA,1
7,7,120,NA,5
5,17,0.03,NA,NA
2,7,0.03,NA,5
5,1,48,NA,3
5,13,26,NA,5
2,13,NA,NA,3
4,17,78,NA,1
6,13,100,NA,1
6,10,96,NA,5
6,17,10,NA,1
7,16,NA,9999999997,5
6,10,63,NA,3
4,10,96,NA,1
5,29,NA,47073,3
3,10,180,NA,5
7,26,160,63,5
3,10,160,NA,3
6,10,144,NA,3
3,13,60,NA,3
4,10,396,NA,5
7,10,24,NA,3
5,10,60,NA,6
6,16,21,57719,3
4,16,36,354400,3
6,17,6.83,NA,1
7,27,240,NA,1
4,10,120,NA,1
3,13,43,NA,1
3,13,NA,NA,5
4,13,30,NA,5
7,4,34,NA,3
5,16,NA,9999999997,5
4,10,0.03,NA,1
4,17,6.16,NA,1
5,10,240,NA,1
7,4,60,NA,5
3,10,83,NA,5
6,10,120,NA,3
6,16,NA,40361,5
3,10,8,NA,3
6,7,195,0,6
6,7,240,NA,3
6,24,37,NA,1
7,16,84,4287143,5
5,10,84,NA,5
3,16,120,766249,1
2,10,70,NA,3
5,10,151,NA,1
7,10,30,NA,5
3,17,7,NA,1
7,17,14,NA,1
6,17,14,NA,3
6,17,9,NA,1
5,17,3.65,NA,1
5,17,18,NA,1
3,13,24,NA,3
5,10,188,NA,1
4,10,120,NA,3
6,17,16,NA,NA
6,17,8,NA,1
3,16,36,9999999997,5
7,16,24,95697,5
3,13,84,NA,3
5,25,4,NA,3
6,10,72,NA,6
4,10,60,NA,3
5,10,178,NA,3
5,10,92,NA,3
4,30,6.01,NA,6
1,17,7.99,NA,3
4,13,36,NA,3
4,13,21,NA,3
5,17,10,NA,1
3,10,24,NA,5
3,30,NA,NA,NA
3,17,30,NA,1
4,17,1.26,NA,1
6,10,120,NA,3
5,16,54,398126,3
4,17,1.82,NA,1
6,10,192,NA,3
5,13,NA,NA,3
6,17,18,NA,1
4,27,216,NA,1
5,17,10,NA,1
6,10,40,NA,1
5,10,60,NA,5
6,10,96,NA,1
6,17,5.23,NA,1
7,17,12.03,NA,3
4,16,30,438605,3
4,10,41,NA,1
7,16,0.03,43965,6
4,10,156,NA,3
3,10,0.03,NA,3
7,17,6,NA,1
3,13,20,NA,1
5,17,6,NA,1
NA,23,NA,NA,NA
3,17,0.36,NA,1
3,10,84,NA,1
6,10,84,NA,3
6,10,4.76,NA,1
5,11,NA,2332,3
3,10,36,NA,5
5,27,168,NA,5
2,17,NA,NA,1
2,13,43,NA,3
5,13,60,NA,1
6,17,2.56,NA,1
3,17,7,NA,1
2,10,60,NA,1
2,10,37,NA,3
2,17,6.1,NA,1
6,27,292,NA,5
3,7,96,NA,1
4,17,27,NA,5
6,17,0.03,NA,1
5,17,1.07,NA,NA
4,17,4.1,NA,5
6,17,6,NA,1
7,18,324,NA,3
6,17,24,NA,1
4,10,60,NA,1
4,17,10,NA,1
6,27,390,NA,3
6,17,21,NA,1
4,17,0.46,NA,1
4,13,57,NA,3
5,13,57,NA,5
7,18,144,NA,3
4,10,72,NA,5
6,13,34,NA,1
6,13,30,NA,5
3,17,8,NA,1
7,7,36,0,6
6,17,5.53,NA,1
3,16,NA,9999999997,5
5,1,7,NA,3
3,17,12.03,NA,1
4,10,120,NA,3
5,17,5.53,NA,1
4,17,46,NA,3
7,17,37,NA,3
4,17,2.92,NA,1
6,17,NA,NA,3
7,26,71,8815,3
6,13,120,NA,3
7,10,84,NA,3
6,10,220,NA,3
6,1,8,NA,5
4,10,46,NA,5
3,13,110,NA,1
2,17,3.71,NA,1
4,10,32,NA,3
3,28,37,NA,3
6,17,3.65,NA,1
1,17,4,NA,1
6,10,46,402799,3
6,13,25.95,NA,1
4,16,12.03,129194,3
6,10,130,NA,1
2,17,NA,NA,1
4,16,NA,3000,6
7,17,6,NA,1
4,13,72,NA,3
3,17,24,NA,1
3,17,12.03,NA,1
3,17,3.25,NA,3
3,10,63,NA,3
5,13,24,NA,1
6,17,3.55,NA,1
6,17,8,NA,1
4,16,0.03,9999999997,3
6,17,4.4,NA,1
3,17,1.35,NA,NA
6,17,21,NA,1
4,10,0.03,NA,1
1,17,NA,NA,1
4,21,46,NA,3
6,29,NA,358726,6
4,10,5.68,NA,3
7,16,NA,22023,3
6,16,0.03,25,5
2,13,36,NA,1
3,9,NA,NA,3
3,13,114,NA,1
3,16,1.97,NA,NA
6,17,0.03,NA,NA
3,16,12.03,34192,1
3,13,36,NA,3
3,10,70,NA,3
4,17,NA,NA,1
6,13,70,NA,3
6,17,9,NA,1
7,13,12.03,NA,5
1,26,75,9999999997,3
2,13,34,NA,1
2,10,72,NA,3
3,17,4.17,NA,1
7,16,12.03,9999999997,1
4,1,18,NA,3
7,10,0.03,NA,3
3,10,110,NA,5
5,17,12.03,NA,1
5,13,51,NA,3
6,17,3.55,NA,1
6,17,40,NA,1
4,13,108,NA,5
3,17,10,NA,1
6,17,10,NA,1
5,17,27,NA,5
4,17,3.78,NA,1
4,10,120,NA,1
2,13,25.03,NA,1
4,10,90,NA,5
5,10,60,NA,3
6,17,5.95,NA,3
6,17,3.58,NA,1
5,10,65,NA,6
4,17,24,NA,NA
6,27,420,NA,3
6,1,9.82,NA,6
7,27,151,NA,5
4,13,11.26,NA,1
5,10,0.03,NA,3
4,13,146,NA,1
6,10,200,NA,3
5,10,40,NA,1
6,12,84,NA,6
6,16,NA,85193,3
6,16,NA,NA,NA
5,16,72,9999999997,5
4,17,12.03,NA,1
5,10,50,NA,3
3,13,78,NA,3
2,13,0.03,NA,1
5,16,36,926486,1
5,16,6,9999999997,5
3,17,5.56,NA,1
5,27,360,NA,5
7,25,30,NA,3
4,27,168,NA,6
2,10,NA,NA,6
5,16,NA,NA,NA
4,17,12.03,NA,1
4,13,49,NA,3
6,17,NA,NA,3
2,13,53,NA,3
4,17,1.85,NA,1
3,10,87,NA,1
6,10,140,NA,1
2,17,10,NA,3
4,28,36,NA,1
4,26,327,9999999997,3
4,17,33,NA,1
6,10,18,NA,3
6,16,4,195900,3
2,10,36,NA,1
6,18,NA,NA,1
2,7,42,NA,5
4,10,25,NA,1
5,10,84,NA,5
6,16,NA,358387,6
4,13,27,NA,1
3,10,27,NA,1
1,13,60,NA,3
5,10,120,NA,3
3,10,21,NA,1
7,10,77,NA,3
7,16,102,800571,5
2,17,12.03,NA,3
3,10,121,NA,3
6,10,46,NA,1
2,17,40,NA,1
7,29,24,3696786,5
5,10,240,NA,3
6,10,12,NA,3
7,12,NA,4607025,6
4,10,0.03,NA,5
3,22,120,NA,3
2,10,151,NA,1
3,26,111,18836,5
4,10,84,NA,5
5,8,NA,NA,3
4,13,57,NA,1
2,8,NA,NA,5
3,7,84,NA,5
2,13,33,NA,1
4,10,63,NA,3
4,17,0.03,NA,NA
7,10,84,NA,3
4,5,NA,9155,5
6,22,60,NA,3
4,8,NA,NA,1
4,17,15,NA,1
7,29,NA,374311,6
6,29,48,3443408,5
7,10,30,NA,1
7,27,420,NA,6
6,13,52,NA,1
6,10,48,NA,3
4,10,18,NA,1
7,10,51,NA,1
3,17,NA,NA,1
1,10,18,NA,5
6,17,30,NA,3
6,27,210,NA,5
4,10,30,NA,3
5,10,60,NA,3
2,13,15,NA,3
3,10,36,NA,3
5,17,NA,NA,5
6,17,0.03,NA,1
6,17,3.92,NA,3
3,10,63,NA,3
5,10,84,NA,3
2,17,0.03,NA,1
4,10,63,NA,5
7,26,151,1065,3
3,10,81,NA,1
3,10,30,NA,5
7,10,96,NA,3
7,10,120,NA,1
6,29,8,330579,6
5,17,2.49,NA,1
6,10,70,NA,1
3,26,234,800,3
4,13,18,NA,3
4,17,12,NA,1
6,10,150,NA,3
6,17,10,NA,1
4,13,60,NA,3
6,29,28,351196,5
4,17,24,NA,3
3,10,87,NA,3
5,13,60,NA,3
4,10,120,NA,5
5,13,84,NA,1
4,10,0.03,NA,5
6,13,30,NA,3
4,17,0.03,NA,NA
6,17,24,NA,1
1,17,NA,NA,1
6,16,18,3021431,6
3,13,42,NA,3
3,17,12.03,NA,1
6,13,NA,NA,6
7,16,24,6610176,5
3,26,100,9999999997,3
6,17,4.99,NA,1
2,10,98,NA,5
2,17,20,NA,1
6,17,18,NA,1
5,12,23.92,NA,3
3,17,0.03,NA,NA
6,17,39,NA,1
6,17,3.66,NA,1
2,13,NA,NA,3
5,29,6,939476,1
6,17,63,NA,3
4,10,60,NA,1
5,10,204,NA,3
4,5,0.03,9999999997,6
6,10,144,NA,3
3,13,42,NA,1
4,21,70,21694205,3
3,4,120,NA,3
4,13,15,NA,3
3,13,97,NA,1
5,17,24,NA,1
3,10,120,NA,1
7,16,NA,529720,5
6,10,39.49,NA,5
6,21,63,21694205,5
4,10,84,NA,3
2,17,24,NA,1
5,17,4.85,NA,1
3,17,6.53,NA,1
2,10,24,NA,3
3,17,30,NA,1
4,26,78,2000,3
4,13,48,NA,3
3,17,5.13,NA,3
6,10,36,NA,3
6,16,NA,0,6
6,18,3.1,NA,6
6,10,90,NA,6
7,7,60,NA,6
4,13,37,NA,1
7,17,0.03,NA,3
2,10,135,NA,3
4,13,35,NA,3
7,10,72,NA,3
5,10,144,NA,1
1,13,57,NA,1
3,1,37,NA,5
6,17,0.03,NA,3
4,13,42,NA,1
7,29,1.97,1210726,5
5,17,NA,NA,3
6,17,8,NA,1
6,17,24,NA,1
2,26,144,9999999997,1
4,21,30,NA,3
3,13,19.85,NA,5
2,7,72,NA,5
7,10,48,NA,5
6,17,21,NA,5
3,13,12.39,NA,1
4,13,40,NA,3
4,27,120,NA,5
6,16,24,9999999997,5
7,24,6.76,NA,1
6,28,NA,NA,6
1,10,46,NA,3
6,10,10,NA,3
3,17,9.23,NA,NA
4,10,84,NA,3
4,17,2.43,NA,3
7,10,60,NA,6
2,10,14,NA,1
6,10,18,NA,1
3,10,63,NA,5
5,17,3,NA,NA
5,10,13.03,NA,5
2,13,12.03,NA,1
5,17,24,NA,1
3,17,23,NA,1
6,17,6,NA,1
6,13,180,NA,3
4,17,NA,NA,1
3,10,24,NA,1
5,17,0.03,NA,NA
4,16,1.12,NA,NA
5,10,NA,NA,6
3,10,84,NA,3
7,27,188,NA,3
7,17,2.66,NA,NA
2,4,70,NA,1
5,10,120,NA,1
3,10,30,NA,1
5,13,24,NA,1
2,10,18,NA,1
6,16,48,64284,5
4,16,45,376000,5
4,26,124,9999999997,3
4,13,0.03,NA,3
7,17,14,NA,3
5,17,15,NA,1
5,17,1.18,NA,NA
3,19,90,NA,3
3,13,60,NA,1
6,16,57,9999999997,3
4,13,70,NA,1
2,10,42,NA,3
6,25,12,NA,3
1,10,18,NA,1
3,21,0.03,9999999997,1
6,17,1.62,NA,NA
5,17,12.03,NA,1
2,17,0.03,NA,NA
4,10,225,NA,3
5,22,470,NA,1
2,26,90,9999999997,1
2,10,46,NA,3
4,17,24,NA,1
1,17,26,NA,3
5,10,70,NA,1
6,17,18,NA,1
5,10,32,NA,5
4,10,322,NA,3
6,13,6,NA,3
3,17,12.03,NA,1
7,30,4,NA,6
7,11,NA,10000,3
5,10,96,NA,1
3,27,200,NA,5
4,17,0.03,NA,1
4,13,18,NA,1
6,17,3.15,NA,1
5,10,204,NA,3
6,10,120,NA,3
3,27,72,NA,3
2,10,8,NA,3
4,17,2.3,NA,NA
4,17,5,NA,1
1,17,NA,NA,3
4,13,51,NA,1
5,17,12.03,NA,5
6,17,22,NA,1
5,17,0.03,NA,1
7,13,12.03,NA,3
3,17,5.33,NA,1
4,13,0.03,NA,3
6,17,6.64,NA,1
4,13,NA,NA,5
5,10,78,NA,1
1,17,NA,NA,5
4,17,27,NA,1
7,10,72,NA,1
2,10,36,NA,5
6,13,24,NA,3
2,17,0.03,NA,1
7,16,27,134900,6
7,10,36,NA,3
3,17,3,NA,NA
5,17,18,NA,3
3,17,12.03,NA,1
4,17,12.03,NA,1
6,17,15,NA,1
6,17,8,NA,1
4,10,292,NA,1
3,10,37,NA,1
4,10,135,NA,5
4,10,12.03,NA,3
3,13,60,NA,3
7,22,470,NA,1
2,13,15,NA,3
3,10,93,NA,3
7,21,NA,NA,5
3,10,120,NA,3
4,10,60,NA,1
3,13,84,NA,3
5,17,0.03,NA,3
3,13,63,NA,3
7,12,NA,2974105,1
4,13,57,NA,3
5,1,0.03,NA,NA
6,17,18,NA,1
3,21,57,9999999997,5
7,16,31,1423385,6
4,16,NA,NA,NA
6,10,90,NA,3
6,10,83,NA,3
1,30,0.16,NA,NA
6,10,210,NA,1
5,7,120,NA,3
6,10,24,NA,3
4,17,50,NA,1
6,13,66,NA,1
2,30,NA,NA,NA
4,13,10.36,NA,3
3,13,48,NA,3
2,10,142,NA,3
1,30,0.16,NA,NA
4,13,76,NA,5
5,10,60.03,NA,3
6,10,72,NA,3
4,13,120,NA,1
4,13,144,NA,3
1,30,0.16,NA,NA
6,17,NA,NA,NA
4,13,108,NA,3
4,10,63,NA,3
5,10,108,NA,1
6,22,470,NA,1
5,23,240,NA,5
6,10,126,NA,1
6,17,6,NA,1
2,13,NA,NA,5
3,13,204,NA,3
6,16,31,9999999997,1
5,10,210,NA,1
4,10,35,NA,1
6,16,29,2630581,6
6,17,30,NA,1
3,26,204,260,3
1,17,30,NA,1
7,29,27,1124620,6
5,16,58,1773076,3
4,13,48,NA,1
5,17,6,NA,1
5,10,70,NA,1
6,17,64,NA,5
5,16,48,1744338,5
5,10,180,NA,3
4,10,87,NA,3
3,10,120,NA,1
7,16,4,137000,6
3,13,NA,NA,1
3,13,24,NA,3
3,16,132,2359029,6
6,14,NA,NA,3
4,10,0.03,NA,3
4,10,30,NA,3
2,16,24,253406,1
1,13,18,NA,5
3,16,NA,36278,1
5,10,0.03,NA,5
5,13,87,NA,5
6,13,85,NA,3
7,16,4,9999999997,1
7,13,37,NA,3
6,21,78,NA,3
7,13,96,NA,3
6,10,108,NA,1
6,13,24,NA,5
5,17,0.03,NA,NA
5,10,24.43,NA,3
3,10,188,NA,3
4,26,84,0,1
2,13,37,NA,1
3,10,44,NA,3
6,10,60,NA,1
7,26,87,9999999997,3
6,10,69,NA,3
3,4,11.95,NA,NA
3,10,185,NA,3
3,16,21,235908,5
3,17,10,NA,6
6,13,60,NA,5
4,10,60,NA,5
2,13,55,NA,1
7,13,45,NA,5
6,17,1.82,NA,6
3,17,0.13,NA,5
4,7,180,NA,3
2,13,12.03,NA,3
6,10,60,NA,1
7,29,0.99,275504,6
3,1,27,NA,3
3,10,72,NA,3
4,5,0.03,342424,5
2,10,37,NA,3
6,21,80,NA,6
5,13,33,NA,5
4,10,12.03,NA,5
4,13,60,NA,3
2,17,2.99,NA,1
2,17,10,NA,1
2,10,36,NA,1
5,17,2.69,NA,1
4,17,5.26,NA,5
7,17,6,NA,3
7,10,12.03,NA,5
4,27,120,NA,1
1,17,0.03,NA,5
5,17,5.46,NA,3
2,10,120,9174,1
3,17,2.13,NA,1
3,17,2.92,NA,1
6,17,3.16,NA,1
5,10,63,NA,3
7,17,6,NA,1
6,27,469.99,NA,3
5,17,2.79,NA,1
7,16,NA,595,3
3,4,120,NA,1
5,10,14,NA,3
4,17,10,NA,1
3,13,101,NA,5
5,10,192,NA,3
7,10,190,NA,3
5,17,13,NA,NA
7,30,NA,NA,NA
6,10,60,NA,3
2,4,57,NA,1
2,10,90,NA,5
6,16,2.16,9999999997,NA
5,17,12.03,NA,1
2,10,38,NA,3
7,10,120,NA,3
6,13,84,NA,1
3,10,84,NA,1
7,24,18,NA,1
2,13,40,NA,3
6,10,216,NA,3
7,13,37,NA,5
4,10,42,NA,3
7,17,8,NA,1
7,28,14,NA,6
4,10,192,NA,3
7,17,21,NA,3
5,10,15,NA,1
6,16,84,2266209,6
6,10,30,NA,1
6,13,46,NA,1
6,10,240,NA,3
6,10,190,NA,5
6,10,168,NA,3
6,26,115,600,1
3,10,210,NA,1
3,13,60,NA,1
7,29,NA,497035,6
3,10,240,NA,1
3,17,24,NA,1
6,16,75,159263,3
2,16,24.03,51929,5
3,17,3.82,NA,1
3,13,96,NA,3
5,10,121,NA,3
2,10,60,NA,5
5,30,180,NA,1
4,17,12.03,NA,1
4,16,10,66824,5
3,13,41,NA,5
6,17,13.03,NA,1
4,17,2.85,NA,1
5,13,46,NA,1
4,10,23.69,NA,1
6,10,70,NA,1
7,10,240,NA,1
5,10,70,NA,5
6,22,149,NA,6
6,10,98,NA,3
6,17,15,NA,5
5,17,12.03,NA,3
3,13,18,NA,3
3,4,120,NA,3
4,17,6,NA,1
5,10,60,NA,1
5,17,16,NA,1
3,17,4.82,NA,1
4,10,12,NA,1
6,10,120,NA,3
3,16,30,1500,3
4,17,12.03,NA,1
3,13,12.03,NA,1
5,13,27,NA,1
5,10,120,NA,3
5,29,NA,175049,6
4,17,5.66,NA,1
6,17,18,NA,1
4,17,30,NA,1
6,17,37,NA,3
4,16,5.99,67200,1
4,17,6.82,NA,1
2,17,6.49,NA,5
4,27,60,NA,6
4,17,4.16,NA,1
6,10,24,NA,1
7,21,NA,NA,5
6,17,4.93,NA,1
6,17,12.03,NA,5
2,10,0.33,NA,1
7,6,NA,9999999997,5
7,17,2.36,NA,3
2,1,5.26,NA,3
5,16,5,5050,3
6,29,NA,9999999997,5
2,1,12,NA,NA
2,23,42,NA,3
7,10,54,NA,6
4,13,6.85,NA,3
5,17,4.03,NA,1
6,17,18,NA,1
7,17,12,NA,3
4,7,60,NA,1
5,17,12.03,NA,1
3,17,4.66,NA,5
5,13,70,NA,3
7,5,24,303895,6
7,10,55,NA,5
4,10,17.72,NA,1
2,13,33,NA,1
4,17,NA,NA,5
6,13,57,NA,1
3,13,110,NA,3
7,16,NA,70196,5
2,27,97,NA,1
3,13,25,NA,3
3,13,100,NA,1
2,17,0.03,NA,1
4,17,18,NA,1
6,10,121,NA,1
5,17,NA,NA,1
2,28,42,NA,6
2,7,97,NA,5
6,27,180,NA,5
7,17,NA,NA,1
7,16,NA,9999999997,6
5,10,105,NA,5
4,17,NA,NA,1
6,13,78,NA,3
7,10,120,NA,5
6,26,60,8021,5
5,19,372,NA,1
4,16,NA,66114,6
6,21,27,3800000,6
5,10,300,NA,1
6,10,58,NA,5
2,16,9,49769,3
5,10,24,NA,5
4,10,0.03,NA,5
6,10,84,NA,3
5,10,40,NA,3
5,17,6,NA,1
7,16,0.03,127100,6
5,13,33,NA,1
3,13,12.03,NA,1
6,13,57,NA,5
5,7,240,NA,3
6,17,0.03,NA,NA
3,13,120,NA,5
4,10,144,NA,3
7,10,120,NA,3
5,10,132,NA,1
3,7,30,NA,3
5,17,4.43,NA,1
5,10,48,NA,3
5,10,240,NA,3
7,7,260,NA,5
2,7,84,NA,5
6,13,90,NA,3
5,10,98,NA,5
4,1,6,NA,3
3,21,1.97,NA,6
1,17,4.72,NA,1
4,17,24,NA,1
5,17,0.33,NA,1
5,10,300,NA,3
3,21,0.99,NA,5
6,29,NA,92093,3
5,13,96,NA,3
3,10,36,NA,1
4,16,NA,9999999997,5
6,16,NA,121677,1
5,10,235,NA,3
